text,label
dgotbricks happen vixen ent bitches got ran threw side like foothill bitch,1
daedavidavie whitethunduh im bitch okay nudes pat wow,1
devilgrimz vigxrarts youre fucking gay blacklisted hoe holding tehgodclan anyway,1
diamondloudkush fuck wrong bitches nobody knows,1
dietrich yall shut upp make bitch,1
dionairish hate im pregnant type bitch,1
doyouq got bitches dm dont ever readem top,1
domworldpeace baseball season win yankees love started,0
dommoneek little stupid bitch dont fuck yoooooouuuu,1
dreadheadari really asked dead ass serious tho could say bitch wheet lol,1
dunderbail im early bird im night owl im wise worms,0
edgarpixar overdosing heavy drugs doesnt sound bad tonight pussy shit every day,0
elgrillo pit bulls photographed lovely fairy tale creatures fairy tale creatures,0
ferociousghost stnamebravo aw fag dont tweet aw lol,1
flokid long lakers trash could careless thats real cc benballer hahaha,0
frosstyy hrheyd didnt say anything tho kiss faggot,1
funnypicsdepot play soccer cheat girls wear khaki coloured cargos haircut yup,0
gstatus could go fat ass bitch lap,1
gedmelle missed calls das yo po bitch twitter finna screamn freemoneymelle,1
gtmal ya side bitch gotta know rules shitanybody ask cousin jersey thinkin bout moving lmmfao,1
gagatom malefoot amo los pies fuck yeah,1
girlthatsvonte hoes thinking meat wont slap ass ainna bruh,1
girlthatsvonte yall bitches wit edges talking,1
girlthatsvonte yall still going trick treating year nahhell yeah ima da sweet tooth bandit steal bitches bags n shit,1
girllssues wanna sex mom fuck right pussy came damn got hacked like fuck,1
gizzyjones kiss u eyes open watch bitchlmfao,1
goofstroop woulda coulda shoulda ass hoe,1
gottiltf happy bday bitch ass nigga jetsandaswisherpreciate bitch roll,1
hbmostdope jayee pipinhoes used send bitch,1
hbmostdope ugly bitches like im wcw duh bitch aint nobody elses,1
halotgmg stnamebravo nigga know hacky sack hoes nah throw look passes lmao,1
heartlessfuck glad im getting outta atlanta nothing bunch niggas amp outta jail amp dumb bitches mad kids fuckin em,1
hermosaalma isnt ghettoits smart im idc,0
hiimjorib would wife hoe cuz wouldnt care cheating force relationship first place,1
hornyfacts single isnt excuse hoe theonemissluu,1
hoskinsty white boy power bitch black power bitch,1
hudgens lets get drunk get blowed spit shit spark blunts amp fuck hoes bro white dudes chill,1
iscoutgirls verballyabrupt bitch u around world back,1
itsyahboiray anelylove dont get dick sucked yo party bad bitch im fr gone set anelylove,1
itsyesie oomf soooo cute probably hoes lot,1
jayten every cartoon alway nuffsaid saving hoes lmao lmao damn captain saveahoe,1
jreebo wants get nose bad bois scally chav sockfetish stinking hot sox legs,0
jamesynba wish bitch like brother keezy ooooow bet,1
jasminepore dressed cat halloween basic pussy,1
jewelxo pornhub get gaming stream feature dumb bitches gtfo pornhub get katielt,1
joebudden stop scared choke sex u bitch ass niggas shell like says guy hits women bed foh,1
johnnyperez whitethunduh ha well iguess make hoes loyal bro theyll never loyal hoes nig,1
kazatta takehov oh man molly ho fuck ya seed fixed,1
kelsiebelsi youre man refer every girl bitch,1
keyshawnswag lmfao cat started beating shit nigga finally got pussy nigga,1
keyshawnswag peel peel bring back rewind back im move shaq line ooooow tf said trash,0
kingcuh stanleys io io alu record ho vine sai pe hahahaha lol anywaaaaaays haha,1
kinghendo vondreaam naw old tape new cover upcoming mixtape kingofthehill yeah im waiting hoe mayne,1
kingteej ol dirty foot ass bitches funny,1
kingshawn whitethunduh thats get yellow flags amazing hell yeah niggy,1
kissmysmilee dont got time bitches actin iffy,1
knightfanneal ucfpinkparty come stay alive knights nation still early bird special comeatmeut,0
kyranadiya hoes aint loyal aint smfh amp wonder nobody decent wants,1
lcistj bruh studs keep thinking im soft hell ask ya girl many times screamed bitch oh okay stfu bye hoe,1
lodycash dry pussy bitches always blame condom,1
lunaraps shut yo bitch ass,1
laflaregodjosh gucci mane jail dropping mixtapes every month hoes cant even text back,1
latrobemark love hoes money wats wrong niggas,1
lebronvuitton loyal bitch burbs without daddy issues like finding holographic mewtwo sounding like lol,1
lilfridayhoe easy cum easy hoe thats fact,1
lifeasbros charlie sheen real major fucking respect charlie sheen,1
lightskingawdd wish bae got hoes tho,1
lilmike fuck twerking bitch cook,1
linniekravitz wesgodlaflare bitch wtf,1
lipethegreat hrheyd lipethegreat shut zoe fight pussy zoe im good man good maam move along,1
lolaaisdope lmao fucking snake bitches em,1
loveableaizah big booty hoes everywhere sheesh damn,1
mlbnetwork stay tuned mlbnetwork update report yankees b teixeiramark weeks dliming bum,0
mrad dezdlt play soccer cheat girls wear khaki coloured cargos haircut yes lmfaosoccerboy,0
madflyentist oregon chokes every year get field trash ass program rft,1
mannydiesel def cowboy lol rt artoffloyd terrell owens best eagle amp cowboy ever dude cried like bitch tv romo,1
markroundtreejr lmfaoooo hate black people theres black people niggers,1
master tolife gabrielastarr could u bitch potent,1
maxmayo pissed lad past would lick dirty soles slept,0
maxmayo love frat boy w soft long soles,0
maxmayo sexy lad hot soles arches,0
megamindnick whitethunduh nah fam gotta cheat hoes depends female feel,1
meshanojas vontethekidd got hicks lol,0
migsmichelen new twitter confusing shit go back south america bitch,1
miikitox toto means ass vaginai think pussy cause toto santi like nasty pussy,1
mikelahenry actually choose ugly bitch ass must fat,1
mileycyrus bitch couldnt kill vibe ya tried dis love miley,1
montrell im tired bitches saying look mean nigga big af wear tight shirts grim everybody,1
motherjones birds grandkids may never see thanks climate change climate,0
mvckfadden stay beautiful bitch,1
nickiminaj wutkinda r purple ceeeleeeman gurl jus playin stupid hoe track still shitted sum gurls,1
nastycopper money getting taller bitches getting blurry,1
newsomejade aint never seen bitch obsessed nigga im obsessed mine,1
nicholasted kobe stay talking trash lets forget jaustin meant one smh,1
nochillpaz least im nigger lmfao,1
nofakingg people always asking im mixed bad asian bitch lol,1
notoriousbm whiteponyjr ariza snake coward least isnt cripple like hero roach lmaoo,1
osayitaintso ignorealllaws fosters home imaginary trash whoa chill show everything tf,0
officialreplay lowkey tired tired quiet go sleep hoe,1
prayingforhead macklemroe stop bringing weird niggers mentions prayingforhead,1
prettybossbrat dont love hoes,1
patrickquelo yo girl cant homeboys ol weak bitch ass nigga,1
patsfanjoe dpalomino think worst advice gave dont pussy speed lol,1
poemsporn quote tweet favorite animalpussy,1
poeticsuccess hate strippers tell theyre dancers hoe ballet dancers dont pop pussy beethoven stripper,1
poffalicious andrewbryant poff double vision beers poff double pussy smh,1
poobie bitches twerk computer ya ya damn,1
prodsjewel sreadthepeace yungmindless peacepunkprince prince art nobody takin bitch,1
quant welfaregovernment aid claimed white people yall black slander trash,0
quant bitches dont care play role,1
queenkaaat took find hiding lime tree iemonaids dis bitch da wrong tree bro,1
rtnba drakes new shoes released nikejordan yes theres glitter shoes dudes fag,1
rachiesoul dizzleofficial inna di ghetto alone lmaoo,0
ramboutit master tolife ramboutit hoes austin teach us austini teach u get curved thats know,0
reachtheeclimax bitches cant cook know suck dick ones,1
renegademo fat hoes get chose lol,1
riahsm hoesaintloyal well theyre hoesno one expects loyal,1
rishaawilliams treshonscrooge nevertrustt ol bitch ass,1
rnadjorell bruh im tired niggas retweetin miley cyrus naked bitch aint types bad lmaooo,1
sactownprodigy tony romo mavs game dont mean still bitch lmao fuk cowgirls lol bitch fuck,1
samjlayman holy shit freddie highmore charlie chocolate factory rolls floor laughing,1
samirahusic dont want sex gf feel like im using anonymous whata faggot,1
sexualgxfs one followers somebody bitch dont,1
shaajenkins ya bitch always bitching clearly care annoying bitch,1
shantaughther catfish hoes thinkin slick niggas catching,1
shewenttojordan cant worry bitch aint worried bout real,1
showarrive side hoes insecure niggas cant handle real one,1
shunstokes rt bluprint lmao bitch come scooting tent like fuck shit,1
shunstokes cousin said share hoes brothers said sharing caring love brothers,1
slimgirlprobz im hungry ionn wanna spend money foodbroke hoe problems,1
smeegbaby dese hoes lyin us nigga,1
snakecharmsdump oh yeah fuck bitch,1
sportscenter eli manning threw nflleading th interception season lmao trash,0
sportscenter usc senior rb anthony brown calls head coach steve sarkisian racist quits team hes bitch,0
stellatex guess also zero time mansplaining adios stfu pussy,1
stephenwildboy chilling sexy scally lad,0
strap aint sharing bitch mines mines,1
sukmysweetness money impress simple broke bitches,1
sylvieamx pisces never anybodys bitch dont let people control change rigghhht,1
teejonez stanleys kingcuh tuku ho idk blah blah blah,0
teejonez kingcuh stanleys im mad cuh hahaha suure tuku ho ita,0
tayknosbest hoes crazy,1
taylorrbabee aint ever gonna slice bitch kevin hart,1
thatniggatroy oomf fuckin fine tho dam dont bitch,1
thegamerkingkev wonder girl gave head boys drink magaluf twitter probly sends nudes fags,1
thenewsat newsatquestions yeah bitch yeah bitch call maybe b steveo c later jesse pinkman machinegunkelly,1
thenymphotweets hickies thighs right pussy gtgtgt right,1
theonemissluu would still love im longer young beautiful ugly monkey ass,1
therealrickyb jetsandaswisher gook yall come frontbitch aint coming,1
therealrickyb jetsandaswisher faggot bitch,1
therealistsam madrid yea im ipad dont work friday lets ball faggot tropicalblanketi work,1
theo scally lad would get,0
theomaxximus gerryshalloweenparty halloween yesterday stupid nigger,1
theomaxximus chrus still supahot tho walks teacher test drops test bitch fohead,1
thornton kantkeepahbytch love eating pussy lol never get full lol eat shit forever lol ever,1
tmaccgfg voiceofdstreetz tmaccgfg tizzimarie slushes hoes nasty anyway famthem hoes taste like meds,1
tmaccgfg tizzimarie slushes hoes nasty anyway fam,1
tmaccgfg bobby bitchby bobbyshmurdags getting live fuck hell yea play hoe workout,1
trelekidd yo bitch gucci mane rt jabarithegreat bitch stoner,1
tweetgamelazy ride bitch handle bars,1
tyjoncuffee aint hoe get traphoussseeeee,1
uberfacts sad tv character deaths still bitter stark man,0
unholyjack harbor bitches party bus hoes lol,1
vbomb woodchuck pussy love,1
veronikahumbert ultraviolence video coming little bitch mtvhottest lana del rey bitchy promo,1
vineforthebyrd way fuck bitch lmfao kittycopter,1
wbur smuggler explains helped fighters along jihadi highway,0
wbeezy quathegreat aww avis look cute together gotta get ike avi bitch,1
wbeezy rundrc simple dont hoedont worry exposed fight mewhy,1
wannabekanye whys bitch boosting size isnt exactly healthy tho,1
withaprettyface nonlykeisha bet bitches kim bye,1
xxpdotjdot damn near gotta protect tweets stalkers annoying got dope dick drive bitches loco,1
xojennygirl im making marack girlfriend marackaf aye b pullin hoes like taught,1
xoxoangiee bruno fag boy love,1
yehitsvon rundrc must bitch sike naw always beefing,1
yankees yankees look rally bottom th rallycap,0
youngricooo wexicanafro dont take advantage nice person hoes everyjuan,1
youngricooo happy birthday bitch nigga wexicanafro thanks pal,1
youngricooo sad knowing hoes wont fuck bc aint got stacks wait till friday,1
yungmigo shanea cinco shit harder fucc niggayee fucc wit rich homie cuz dats ya homeboy fucc nicca,1
zoebarton hrheyd ewww said last sundayas last sunday read nigs,1
badabing punch real niggas face cause pussy nigga gonna punch right back strong mush shake,1
beedontcare pussy still fresh lt something stank girls say,1
geewillikers ass slapping one greatest things haha slapped girl ass got mad aint get pussy week,1
tommycollins wearerichnow buffalobills yeah texans much better fucking retard see youre mad,1
malibubarbie nd wtf dark bitches blonde please several seats hoe looking like blackampmilds,1
sugga theres lane bitches need stay left n get right fuck outta face,1
sneakyb hate boys deny bitches smh,1
taradise ya nigs still saying yall dont eat butt straight face,1
yourewelcome im boss ass bitch needs sit corner,1
iwantfranny hes hoe cant,1
prettyflvck paul thinkin bout gettin rentals da weekend oooh shit bitches betta stay da streets,1
rapdreams bitches hold nigga get locked nigga go college military different story,1
simplycaitlin friends hate ratchet hoe,1
adriwadrri love fuck niggas hoes,1
airmaxlad hot meat sexy fuck scally lad would love meet trainers,1
airmaxlad sniff perved scally lad fuck yeah,1
alejandrap bitches love sosa,1
alexissixela whitethunduh legit watched seconds wtf prob cause retarded smh,1
allisonnamaya name cat ideas mr pussy,1
altosteel woof woof sexy thug boy scally,1
ambitiousbree nonlykeisha u see damn phone ringing married bitches makes demands havent called,1
analicialouise tevin favorite sophomore think hes funny hes really lmaoo hes little hoe,1
angelenagoley sex positions u call fucking soul outta bitch,1
ashlingwilde itsnotadam bored supposed cute faggot sometimes,1
ayyeeceee one mans trash another mans treasure,0
babineaux dont got type bad bitches thing like iongotnotype,1
bigbootybishopp whitethunduh lassen cc coach wants feel youll get nig doubt,1
bleedingtrap god teeth gold chain white bitches cocaine,1
cheetahbluntz hoe hoe shhhhh,1
chieflottahoes dc call rollers chiraq call thots across america known hoe,1
claytonjenn im gonna miss bitch bus driverno wont dont lie,1
coltfortygone hate bitches try put friendzone bitch im tryin score put endzone soul,1
complexuk ashley young tried deny bird landed mouth gt hahaha,0
datfullerkid trevaughnlg yall gimped aint tht bitch huh lol,1
deepthroatmike boyssouth take ride woof woof,0
demieggleton oh god love victoria mitchell bitches love,1
djsliime long distance shit wack knew bitch cheating uh oh,1
fiirting hes right bitches smh,1
fatboyswagg ban dat pussy life amp gotta pay millon dollar fine,1
fuckcamoclark roses red violets blue niggers black know thats true dylan,1
grillaze sitting window sill window open bird tries fly smacked protecttheanimals peta,0
glowstruck nigga gon nigga nigga sound fuckin retarded,1
greggutfeld video entire media likely mock crybaby,0
gurlimangie itskiaraaaa westyourmajesty im even shy stfu kikis mom hi angelique angelique smiles dips cracker soup,1
haitiangold tim tebow got cut every team nfl already got hoes starkville smh,1
hazelebaby karma bitch damn godprotectshisangels sips tea,1
hornyjhb fuckin hot gym pussy fuck yeah,1
hxhassan jihadi patron hajjaj alajmi arrested kuwait airport,0
iampickuplines call fireman cause turn hoes,1
icrawley could never bby lil dick thts got abortion last bitch oh god,1
idntwearcondoms watch women try argue like dick actually fucked pussy hate bitches,1
ilgdaily smoke weed public fuck cops man wanna dont run come retarded,1
itrapwatermelon tweety bird tho,0
irlfatty pussy sweet like watermelon thotermelon,1
itscoleharmon twitter rappers dm trash links,0
jsadass loud bitches annoy,1
jacaxeltlu eventually every bitch turns hoe truuu,1
jaimescudi tonybthrz jaimescudi swear oomf try talking tomorrow barackobama pussy,1
jamajam bitches pretending tf crazy aint never lied,1
jasmyncyniquee whitethunduh k bye hoe um bye,1
jayswaggkillah jackies retard blondeproblems least make grilled cheese,1
jboii ima keep giving pussy ass niggas ah reason hate,1
jethromass photo sole heaven,0
jgabsss stacey dash baddest bitch evaaaa,1
juicyyyjayyyy side bitch sunday,1
keazy facts baldheaded bitch made shit lmao,1
kayreneeee fuck wit us tweakin hoe shmurda,1
kazooook actin like th day wesgodlaflare spook,0
kikistfu ill break lil bitch neck wont even feel sorry savage,1
leikant fucking hot scally sneakersex sockfetish sniff trainersex love kinky scallies,1
likemicah yall dumb ass niggas pressed hoes yall weak fuck fuck weed hoes oreos,1
lildurk turn yo bitch eaterrrrrrrrr,1
lildurk dont trust dese hoes nikki told st stay fans screen shot asap finna come chiraq shoot sumn,1
marackaf whitethunduh aye yall ima tryout bowling team frfr tryouts passed tho theres two retard,1
maybe u got u want bitch enjoy crazy party would love attend,1
metroadlib colored contacts eyes blinders mine cause cant see lmao,0
michellewestt facts poonsoaker dudes hoes say dont got hoes jaustin,1
midywidey im rea start smacking bitches period bluffin best,1
molssyo lifes bitch die thats get high cause neva know youre gonna go sister perfect,1
molssyo one us drugs youre still wrong currieburry hahahahahahah im bitch sometimes,1
morgandaylee im feeling pretty fuckin ghetto smh,1
nohands tolife nohands dejaaleeann bcoleman swears im man easily easily behind austin nip,0
obeyjrock true ride die bitch fuck hahahahah,1
oldpicsarchive hgwells charlie chaplin history photography,0
ortizjaylene see brunos bitch ass twitter wtf brunos sees drake voice,1
ozziegarza whitethunduh im cool faggot chill tf cool nigga,1
ozziegarza whitethunduh im sure bitch frfr tf,1
poppunksucks twitter source news broadcast fucking retards nbc abc cnn fox etc keeping quiet,1
queendulaaa got couple bitches saying know ima let money talk im like wwyd,1
realfortes grudges weirdosand bitches,1
rhythmixx told mariam cigarettes birthday also called trash rn,0
riananewman edham brownies tonight kind,0
rollyup text back dont give fuck ill text another bitch damn someone hurt lol,1
ronaldiongi ummmmmm okay got hoes left right yah thang,1
royalswagg using ymxb find slope ass,1
rugbysocklad fit lads nice gear scally lads n trainers would get,0
rugbysocklad hell yeah bro fuck yeah sexy scally lad hot gear,1
rugbysocklad helping mate love scally play fuck yeah,1
rugbysocklad lads lads fuck yeah love scally lad action hot trainers,1
savagetwotone next year bitches gonna like gotta promise wont expose,1
scallynikelad sleazytwinks hot rt opcinjen lick bitch fuck yeah eat trainer u dirty fucker,1
sierrabernia tgcincokilby yall think celebrity pussy different locals yeah meghan goods,1
sleepyyongguk saw ajumma walk beginning saying wow trash cant even listen lmaoo,0
sniffsockslad need sox fuck yeah love kinky scally lad w rank sox sneaks,1
snoleezey dont ever expose females like thats childish bitch nigga shiiii,1
socass sexilexi socass yasss trys new things bestfriend bitch love,1
socass dude remember wop video sexilexi omg find,0
soxandjox thick raw fuck damn man pussy getting workout,1
soxdawg rawr rt skinrubberboi sexy french scally love frenchscally sexy scally woof woof,0
splurgb nothin life free bitches need write ya panties,1
stephencdo currieburry one bitches want burrito u catch potosino huh haha,1
talibanshawtyy niggas whole hoes cuz couldnt said better,1
theaveragerocks hardcore way eat mac cheese boil water snort cheese powder drink boiling water fuck bitches,1
thebravebird yourenotmytype fade perpetually fresher thats real ass bitch rite,1
thejudyann annoying bitch love judyanns pretty,1
thotmouths lmao bitch got huggies,1
trestiffer hi bitch bitch bye bitch,1
trutherbot look like bitch elcapacitor,1
whoiscoreyking chase money hoes,1
whooligan cant stand dont know want ass nigga bitch,1
wiganzlad markycrumb gmailshorts im way love chavhot sexy scally fucker,1
witmyrudeass newly gay bitches dont kno shit works,1
witmyrudeass bitch dont want real job become strippers lol lol,1
wodaeeex awww meat meat feelinsi ainn n feelings bitch,1
wodaeeex want snake bites industrial piercin amp tattoodem hoe accessories dea,1
worldtraveis baby albino meeeesh,0
worldwarzee hoes aint loyal,1
xoxoclauudia yassssss ordered chinese bitch ate tacos fat fuck,1
zmbiedance made bitch lunch elizabethbatman bitches love lunch,1
brainer soon bitch gets rich political power views change political whores,1
pussy day keeps devil away doperthanyola,1
aint bitch mean,1
bitches want baby dont want children,1
bitch must lost,1
baby like left side bitch cant cuz street side twitter said aint real,1
bae sounds like ghetto word use something else,0
batter wee cunt jewis cos fucked ex emma isnt battering girls ive nailedive moved onstop pussy n urself,1
bleed hoe alexa,1
boolin bando wit bitches,1
brownies brownie love movie,0
need bad bitch thats hotter might realist shit partynextdoor ever said thats feelin everyday,1
way punch bitches,1
caesar home rt naewoodster mjayskillz much bitch looks like lets start ape shit,1
chinese maverick communicating comrade u know giving imperialist yanks birdie,0
dad say hi snapchat dad duces bitch,1
believe hoes fact loyal disagree believe fact loyalest bunchthese hoes,1
dont know ugly bitches dont know broke niggaskevingates,1
dont make make fall live nigga like meee birds amp favorite songs weeknd,1
dont worry nigga see worry nigga dont see dats da nigga fuckin yo bitch,1
dont ever give pussy away keep tight alright,1
dropped stack cause bitch im poloboy song called dope download mixtape,1
dumb bitches dumb things,1
eat pussy like real nigga hungry,1
eff lets go cripple,1
everything look better bitch next,1
facto shaunasayomi cares hoe ass looks like,1
every bad bitch nigga tired fucking,1
foreign chick lie man bitch beautiful,1
fresh nigga kno need clean bitch kno im working cuz wanna see team rich,1
fuck make rules suck dragon balls bitch call goku,1
generate ascii boxes nodejs see ability bring flappybird node via ascii tubes bird,0
get shit bitch fine bear,1
get ass back detroit ya fuckin wigger,1
girls dated okay aint mad yo unless stabbed heart love hoe,1
know twitter password bitch please,1
seen shows seen hoes wasnt hot would thick,1
bitch hitting hoe,1
married white woman lucky sumbitch uncle ruckus,1
wanna nigga im trinna savings account omg imma funny ass bitch man thats real shit,1
great grandmas hoeher grandmas hoeher moms hoe shes hoe long line hoes grandpa carl everyone,1
hey go look video man found kidnapped girls ohiowhat nigger shitmybosssays,1
hey pussy still,1
draft gungho folks send afghanistan war zones show,0
hotter bitch,1
u talking hoes bout bro n em talking hoes bout bro n em,1
crazy bitch hilarious,1
know shoes dirty fuck whatever bitch dont call like negro one first things look shoes dog,1
thrill billywith hillbilly heart billyraycyrus hahahahaha jesus murphy,0
call bitch makennam,1
cant handle liquor bitches cant handle meeedd chief sosa,1
dont chase dudes chase bitches edgar bautista,1
dont love hoes baby forever,1
dont even need picture tamar bitch beat every picture,1
dont hoes,1
found new way chug open mouth alot shitallysays,0
fucking hate bitch much wanna smack face tongue kiss,1
got bitch set like jada picketqueen latifah riding round nieces bitch titi,1
got sister told stop calling women bitches,1
guess night bitches die stewie nigga,1
bitch bitch bitch eating halibut iamyoungroc freshrhymes jerksquad slowstir,1
ladylove shes married still wanna bang wont sex bitch troubadour probably,1
heard looking candy man bitch,1
hope dont get mad ladies call bitches bitches bc dont know names individually katt williams letmicahdown,1
got number im bitch boy,1
know shit eatin grin either fucked girl dreams sold car know youre faggot whatd sell,1
older men cause theyre mature supposed fool us bitch,1
prolly leave bitch cups hand yo hand hand,1
said dont like tastes like wolf pussy even know tastes like,1
taught eat pussy cut hair taught eat pussy hair name movie,1
used dress like cop oh really yeahright mad pussy really yesill never forget,1
went jail flock amp came home wit strike went jail bitch came home dike yg,1
fuck u u stand u dizzy bitch two unique amp separate phrases overheard relative saying younger,1
woke like thi bitch go back bed,1
would rather call bitch sir manager,1
ill beat pussy hard,1
ill slit throatneck,0
im funky ass honkey jtimberlake shout macklemore tonight cabaret jttour,1
im comparing kfc pussy maxonmaxoff,1
im downloading new personality ordering new face bitch love goddamn axl rose yelling sex robot,1
im feelin like malcolm middle bitches surround cant miss em,1
im gonna piss dimple sonia stop wasting prayers trash teams lol,1
im probably main bitch chocolate dipped cinnamon apple,1
im sick shit man jonniesantana sit bitch ass im fed bro rt sbabylife geno threw yet another pick smh,1
im sorry fucked yo bitch really dig nigga kingl,1
ibs irritable bitch syndrome,1
love hide yo bitch youll keep shorty wizkhalifa,1
talk back aint getting pussy,1
youre bad bitch put hands high every girl room starts waving hands around,1
imma tie bitch basement donkeyfuck ass two weeks straight hahahahahahahahaha centmovie beforeiselfdestruct,1
mind gotta dumb hoe anthem,1
albino mexican dad hes asian,0
takes true directioner accept larry know bitch fans like make boys cry thankyoupaulforconfirminglarry,1
allegations u bedroom u see words naive amp blind bitch know ur husband cheated u ramona dumb,1
never late tag bitch cyfyre,1
dykes hunter dyke dyke,1
julia roberts youre ho laurengardner nottinghill,1
follow yellow brick twitter,0
lmfaoooooooooooooooooo bbbrooks pussy good mama dont like guess gotta gomy mama,1
lol cripple wendy davis rt mailonline scientists create remotecontrolled chick study shy penguins,0
lets nips ahoy spank maybe,1
lets kill cracker babies wtf hear wow,1
like correct im wrong doesnt pimpin involve smackin bitches money,1
lmao blackbeauty rt sbabylife pound cake look like pussy,1
lmao swillalo drose adidas lighter phone shit retarded,1
mam rene doet haar rol net ze ongesteld wat ongesteld van dat soort vragen waar je denkt hoe leg ik die weer uit,0
maybe wants friend maybe shes stupid bitch never know make cum,1
